,names,price,stars,moisturiser,toner,mask,cleanser,exfoliator,oil,serums,hyperpigmantation,sensitive_skin,gluten_free,vegan,oily_skin,dry_skin,day_cream,night,wrinkles,acne,spf,eye_cream,cruelty_free,brand
68,Drunk Elephant D-Bronzi Anti-Pollution Sunshine Drops,34.00€,4.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drunk elephant
69,Supergoop! Supersize Unseen Sunscreen SPF 30,46.00€,4.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,goop
70,The Ordinary Retinol Serum 1% in Squalane,8.30€,4.38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary
71,The Ordinary Natural Moisturising Factors + HA,6.00€,4.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,the ordinary
72,The INKEY List Succinic Acid Blemish Treatment,9.00€,4.56,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the inkey list
73,The Ordinary 100% Organic Cold-Pressed Rose Hip Seed Oil,10.20€,4.67,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary
74,The Ordinary Vitamin C Suspension 23% + HA Spheres,7.30€,3.82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary
75,Thank You Farmer Sun Project Light Sun Essence SPF50,23.70€,4.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,thank you farmer
76,Summer Fridays ShadeDrops Broad Spectrum SPF 30 Mineral Milk Sunscreen,39.55€,4.280228519195615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,summer fridays
77,The Ordinary Granactive Retinoid Serum 5% in Squalane,15.00€,4.71,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary
